,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy
492,f,4.0,-22.999718379214823,-43.35812529152568,Apartment,Entire home/apt,4,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Washer,Essentials,Hangers,""Hot water"",""Long term stays allowed"",""Host greets you""}",$124.00,1,$25.00,2,90,9.0,f,f,strict_14_with_grace_period
493,t,1.0,-22.98393989593109,-43.22620317989102,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",$272.00,1,$0.00,2,30,86.0,t,f,moderate
494,f,1.0,-22.920517607598548,-43.25390568963451,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,Washer,Essentials}",$78.00,1,$70.00,1,30,1.0,f,f,strict_14_with_grace_period
495,t,5.0,-22.975761703881396,-43.1907848946102,Apartment,Entire home/apt,14,6.0,5.0,9.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}","$1,200.00",4,$200.00,1,365,13.0,t,f,moderate
496,t,2.0,-22.96583211640093,-43.18866542934219,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Host greets you""}",$152.00,1,$60.00,1,10,50.0,t,f,moderate
497,f,45.0,-22.984023620272733,-43.19856735382657,Apartment,Entire home/apt,4,2.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",Crib,""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$179.00,1,$0.00,3,1125,14.0,f,f,strict_14_with_grace_period
498,f,5.0,-22.987582393389854,-43.19322873208601,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer}",$253.00,1,$0.00,5,30,22.0,f,f,strict_14_with_grace_period
499,f,3.0,-22.99187249724177,-43.23300608300078,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$198.00,2,$30.00,2,180,258.0,t,f,strict_14_with_grace_period
500,f,3.0,-23.00419275046365,-43.322932219154815,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,Pool,""Smoking allowed"",Doorman,Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Fire extinguisher"",Essentials,""24-hour check-in"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water""}",$152.00,1,$80.00,1,1095,1.0,f,f,strict_14_with_grace_period
501,f,1.0,-22.93193457215095,-43.2409097332862,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher""}",$466.00,1,$0.00,2,180,1.0,f,f,moderate
502,f,2.0,-22.9988719087644,-43.41571144114496,Apartment,Entire home/apt,6,3.0,3.0,7.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",$513.00,1,$0.00,4,365,0.0,f,f,moderate
503,f,1.0,-22.930590006969403,-43.17595223269897,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,""Pets live on this property"",Cat(s),""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""24-hour check-in"",Iron,""Laptop friendly workspace""}",$256.00,1,$130.00,3,20,2.0,t,f,strict_14_with_grace_period
504,f,1.0,-23.005968758499733,-43.348143764405584,Apartment,Shared room,2,1.0,1.0,1.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,Breakfast,Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in""}",$501.00,1,$100.00,14,20,0.0,f,f,strict_14_with_grace_period
505,f,1.0,-23.007952264409997,-43.32031347863487,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}",$163.00,1,$60.00,1,10,28.0,f,f,moderate
